   2
115     0.96030 0.001 0
109     0.96750 0.001 0
  29
 27    -0.71000 0.001 0
114    -0.08000 0.001 0
113    -0.06000 0.001 0
117    -0.20000 0.001 0
 34    -0.59000 0.001 0
 33    -0.23000 0.001 0
 44    -0.16000 0.001 0
 45    -0.53000 0.001 0
 47    -0.34000 0.001 0
 48    -0.20000 0.001 0
 40    -0.66000 0.001 0
 73    -0.06000 0.001 0
 70    -0.66000 0.001 0
 75    -0.47000 0.001 0
118    -0.33000 0.001 0
 50    -0.17000 0.001 0
116    -1.84000 0.001 0
 88    -0.48000 0.001 0
100     2.15000 0.001 0
 99    -0.42000 0.001 0
106    -0.43000 0.001 0
104    -0.38000 0.001 0
103     0.17000 0.001 0
110    -0.39000 0.001 0
111     0.36000 0.001 0
101    -0.22000 0.001 0
112    -0.68000 0.001 0
109    -0.08000 0.001 0
 92    -0.65000 0.001 0
  29
 27    -0.10173 0.001 0
114    -0.03000 0.001 0
113     0.06318 0.001 0
117    -0.08000 0.001 0
 34    -0.34000 0.001 0
 33    -0.09000 0.001 0
 44    -0.08000 0.001 0
 45    -0.22000 0.001 0
 47     0.00000 0.001 0
 48    -0.11000 0.001 0
 40     0.03883 0.001 0
 73     0.09651 0.001 0
 70    -0.10336 0.001 0
 75    -0.11000 0.001 0
118    -0.15000 0.001 0
 50    -0.04000 0.001 0
116     0.51323 0.001 0
 88    -0.10000 0.001 0
100     0.91941 0.001 0
 99    -0.17537 0.001 0
106    -0.16000 0.001 0
104    -0.19375 0.001 0
103     0.24000 0.001 0
110    -0.25143 0.001 0
111    -0.01844 0.001 0
101    -0.15000 0.001 0
112     0.28511 0.001 0
109    -0.03000 0.001 0
 92    -0.13000 0.001 0
 108
  26  25     0.90300 0.001 0
  25  27     1.43486 0.001 0
  27  28     0.32858 0.001 0
  30  17     2.31057 0.001 0
  12  16     0.07503 0.001 0
  19  34    -0.03661 0.001 0
   7  12     0.16466 0.001 0
   4   5    -1.03213 0.001 0
  11  12     0.34284 0.001 0
  23  32     0.92994 0.001 0
  31  32    -0.29869 0.001 0
  29  31    -0.08432 0.001 0
  23  24     0.08297 0.001 0
  15  17    -1.03719 0.001 0
  26  30     2.23701 0.001 0
  16  17    -0.17515 0.001 0
  30  38     0.62532 0.001 0
   8  30     0.74219 0.001 0
   8   9    -4.40635 0.001 0
   9  10    -4.45255 0.001 0
   8   5     3.38417 0.001 0
   3   5    -0.68103 0.001 0
   1   3    -0.38644 0.001 0
   1   2    -0.12356 0.001 0
   5   6     0.88456 0.001 0
  22  23    -0.53281 0.001 0
  21  22    -0.42862 0.001 0
  20  21    -0.28691 0.001 0
  18  19     0.19388 0.001 0
  13  15     0.00745 0.001 0
  12  14     0.18286 0.001 0
  15  33     0.07230 0.001 0
  49  50     0.53662 0.001 0
  39  40     0.26970 0.001 0
  37  40     0.44099 0.001 0
  35  36     0.00672 0.001 0
  34  43     0.01438 0.001 0
  43  44    -0.16569 0.001 0
  45  46    -0.36316 0.001 0
  46  47    -0.31099 0.001 0
  46  48    -0.14760 0.001 0
  71  72     0.10596 0.001 0
  24  72     0.01473 0.001 0
  24  70    -0.06209 0.001 0
  71  73     0.06012 0.001 0
  70  74     0.16198 0.001 0
  70  75    -0.00145 0.001 0
  75 118     0.40186 0.001 0
  76 118    -0.06821 0.001 0
  75  77    -0.34646 0.001 0
  76  77    -0.61179 0.001 0
  38  65    -1.81412 0.001 0
  40  42    -0.11771 0.001 0
  56  57    -0.22990 0.001 0
  56  58    -0.06668 0.001 0
  51  58     0.18788 0.001 0
  49  51     0.66629 0.001 0
  51  52     0.28559 0.001 0
  52  53     0.10372 0.001 0
  49  54     0.75532 0.001 0
  49  66    -2.64370 0.001 0
  68  69    -1.25621 0.001 0
  68 116     1.84126 0.001 0
  77  82    -0.03092 0.001 0
  77  78     0.45388 0.001 0
  77  80    -1.41074 0.001 0
  82  96    -0.10135 0.001 0
  94  96     0.19940 0.001 0
  95  96    -0.01240 0.001 0
  82  83    -0.47096 0.001 0
  83  85    -0.42701 0.001 0
  83  84    -0.24728 0.001 0
  86  87    -0.03947 0.001 0
  85  86     0.17172 0.001 0
  96  97    -0.11045 0.001 0
  85  88    -0.50328 0.001 0
  88  89    -0.98866 0.001 0
  85  89    -0.71170 0.001 0
  89  92     2.65434 0.001 0
  66  67     0.53163 0.001 0
  62  66    -0.37165 0.001 0
  62  67    -0.24305 0.001 0
  99 100    -0.22748 0.001 0
  68  81    -0.44327 0.001 0
  80  98     0.28847 0.001 0
  80  99     0.19462 0.001 0
  54  55     0.07077 0.001 0
  54  59    -0.30372 0.001 0
  63  59     1.51746 0.001 0
  59  60    -0.43311 0.001 0
  59  61    -0.51712 0.001 0
  64  61     0.30520 0.001 0
  89  90     1.68887 0.001 0
  90  91     0.01281 0.001 0
  91  92    -0.08729 0.001 0
  93  94     0.44847 0.001 0
  92  93     0.57744 0.001 0
 100 106     0.60573 0.001 0
 100 104     0.56420 0.001 0
 103 110     0.60556 0.001 0
 105 108     0.23993 0.001 0
 108 109     0.21806 0.001 0
 106 107     0.24003 0.001 0
 104 105     0.48736 0.001 0
 105 106     0.08681 0.001 0
 100 103     1.21088 0.001 0
 100 101    -0.16749 0.001 0
 109 110     0.13741 0.001 0
 108
  26  25     0.21585 0.001 0
  25  27     0.30055 0.001 0
  27  28    -0.00589 0.001 0
  30  17     0.93371 0.001 0
  12  16     0.04288 0.001 0
  19  34    -0.10567 0.001 0
   7  12    -0.06502 0.001 0
   4   5    -0.26792 0.001 0
